year,county_fips,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,TOTAL,MARGIN
2000,4027.0,12055.0,495.0,,394.0,15708.0,28652.0,0.12749546279491833
2000,5001.0,2877.0,65.0,,77.0,3353.0,6372.0,0.07470182046453233
2000,5003.0,4253.0,61.0,,81.0,3876.0,8271.0,-0.04558094547213155
2000,5005.0,6516.0,429.0,,225.0,9538.0,16708.0,0.1808714388316974
2000,5007.0,17277.0,862.0,,669.0,34838.0,53646.0,0.32734966260299
2000,5009.0,4493.0,289.0,,284.0,8569.0,13635.0,0.29893656032269894
2000,5011.0,2122.0,34.0,,30.0,1793.0,3979.0,-0.08268409148027142
2000,5013.0,1017.0,19.0,,21.0,1128.0,2185.0,0.05080091533180778
2000,5015.0,3595.0,301.0,,138.0,5556.0,9590.0,0.20448383733055267
2000,5017.0,2820.0,26.0,,42.0,1564.0,4452.0,-0.2821203953279425
2000,5019.0,4661.0,103.0,,86.0,3776.0,8626.0,-0.10259680037097148
2000,5021.0,3527.0,73.0,,46.0,2254.0,5900.0,-0.2157627118644068
2000,5023.0,4120.0,183.0,,174.0,5730.0,10207.0,0.1577348878220829
2000,5025.0,1414.0,30.0,,59.0,1678.0,3181.0,0.08299276956931782
2000,5027.0,4003.0,70.0,,216.0,5018.0,9307.0,0.10905769850650049
2000,5029.0,3496.0,84.0,,109.0,3545.0,7234.0,0.006773569256289743
2000,5031.0,12376.0,409.0,,214.0,12158.0,25157.0,-0.008665580156616448
2000,5033.0,6288.0,223.0,,310.0,10804.0,17625.0,0.2562269503546099
2000,5035.0,7224.0,97.0,,56.0,5857.0,13234.0,-0.10329454435544809
2000,5037.0,3096.0,38.0,,48.0,3033.0,6215.0,-0.010136765888978279
2000,5039.0,1710.0,21.0,,23.0,1571.0,3325.0,-0.04180451127819549
2000,5041.0,2776.0,38.0,,78.0,1603.0,4495.0,-0.26095661846496104
2000,5043.0,3060.0,47.0,,59.0,2756.0,5922.0,-0.05133400878081729
2000,5045.0,11950.0,513.0,,698.0,16055.0,29216.0,0.14050520262869662
2000,5047.0,2674.0,100.0,,89.0,3277.0,6140.0,0.09820846905537459
2000,5049.0,1976.0,51.0,,45.0,2036.0,4108.0,0.014605647517039922
2000,5051.0,15840.0,566.0,,431.0,19098.0,35935.0,0.09066369834423264
2000,5053.0,2535.0,88.0,,105.0,3285.0,6013.0,0.12472975220355896
2000,5055.0,6319.0,205.0,,129.0,5831.0,12484.0,-0.039090035245113744
2000,5057.0,3937.0,50.0,,45.0,3257.0,7289.0,-0.09329126080395116
2000,5059.0,5527.0,202.0,,210.0,5042.0,10981.0,-0.04416719788725981
2000,5061.0,2063.0,50.0,,20.0,2326.0,4459.0,0.05898183449203857
2000,5063.0,5146.0,171.0,,132.0,6145.0,11594.0,0.08616525789201311
2000,5065.0,2587.0,76.0,,68.0,2301.0,5032.0,-0.0568362480127186
