,,,,,,,2000_2016_pct_chg,2000_2016_pct_chg,2016_2020,2016_2020
,,,,,,,std,median,pct_change,vote_change
county_fips,POP_ESTIMATE_2020,state,state_po,county_name,fixed_fips,size,,,,
12107,73372.0,FLORIDA,FL,PUTNAM,12107,xs,0.10129746329317636,-0.04646237189390329,0.04289677035862893,433.0
12109,277099.0,FLORIDA,FL,ST. JOHNS,12109,m,0.175158281258026,0.28920369254686074,0.4814728880020418,20751.0
12111,331441.0,FLORIDA,FL,ST. LUCIE,12111,m,0.1593052344989699,0.13131337780443963,0.25801049625454175,17256.0
12113,189011.0,FLORIDA,FL,SANTA ROSA,12113,s,0.1758516191806509,0.09211350221687697,0.49545060658578866,9148.0
12115,436237.0,FLORIDA,FL,SARASOTA,12115,m,0.13003034311644132,0.09498818453045854,0.2272402166138756,22240.0
12117,471455.0,FLORIDA,FL,SEMINOLE,12117,m,0.15950981709282958,0.19436564837825987,0.2512793398417583,26614.0
12119,130290.0,FLORIDA,FL,SUMTER,12119,s,0.18830098481318436,0.18076491643589143,0.2960950614011839,6703.0
12121,43524.0,FLORIDA,FL,SUWANNEE,12121,xs,0.1267398682419288,0.02678285780502082,0.1314328960645812,521.0
12123,21743.0,FLORIDA,FL,TAYLOR,12123,xs,0.15462101328940367,-0.047297927406879214,0.06830855018587356,147.0
12125,15425.0,FLORIDA,FL,UNION,12125,xs,0.13341735682336509,-0.04004064139874691,0.03846153846153855,39.0
12127,555776.0,FLORIDA,FL,VOLUSIA,12127,m,0.13434145963605232,0.028484449369095388,0.19693650255291462,21484.0
12129,33893.0,FLORIDA,FL,WAKULLA,12129,xs,0.18413052090194348,0.029577920809320424,0.23068077276908916,1003.0
12131,75941.0,FLORIDA,FL,WALTON,12131,xs,0.09714202275465068,0.06596763592498622,0.5034904013961605,3462.0
12133,25320.0,FLORIDA,FL,WASHINGTON,12133,xs,0.10357128419454298,-0.015923066847577882,0.03666077738515905,83.0
13001,18376.0,GEORGIA,GA,APPLING,13001,xs,0.08020456367150083,-0.08236374770361299,0.2405857740585775,345.0
13003,8308.0,GEORGIA,GA,ATKINSON,13003,xs,0.17387200948838735,-0.017662687086578588,0.18364418938307026,128.0
13005,11112.0,GEORGIA,GA,BACON,13005,xs,0.09596713357028042,-0.07666456087706136,0.02796052631578938,17.0
13007,2852.0,GEORGIA,GA,BAKER,13007,xs,0.09502387153875222,-0.07880978359701762,0.003076923076922977,2.0
13009,43790.0,GEORGIA,GA,BALDWIN,13009,xs,0.15062052082544716,0.06877888392453357,0.14680050188205773,1170.0
13011,18081.0,GEORGIA,GA,BANKS,13011,xs,0.07738836592992368,-0.1146281047064337,0.36257309941520477,248.0
13013,83981.0,GEORGIA,GA,BARROW,13013,xs,0.30836100182942555,0.10567148222160405,0.5886018237082067,3873.0
13015,109314.0,GEORGIA,GA,BARTOW,13015,s,0.15938441551183005,0.00455918324249599,0.4724792985874331,3880.0
13017,17168.0,GEORGIA,GA,BEN HILL,13017,xs,0.14538472732886445,-0.02714385955209586,0.13850547358400767,291.0
13019,18144.0,GEORGIA,GA,BERRIEN,13019,xs,0.07508119439641284,-0.11827795665321156,0.21203438395415475,222.0
13021,157035.0,GEORGIA,GA,BIBB,13021,s,0.17435424989255738,0.08137828073986181,0.18161306983445247,6681.0
13023,12523.0,GEORGIA,GA,BLECKLEY,13023,xs,0.0927932729886781,-0.037075207486594486,0.1907356948228882,210.0
13025,18044.0,GEORGIA,GA,BRANTLEY,13025,xs,0.1158857842227855,-0.1356753773170742,0.12924071082390953,80.0
13027,16272.0,GEORGIA,GA,BROOKS,13027,xs,0.18525229508229965,0.11099993493288796,0.10363924050632911,262.0
