fips_fixed,county_fips,2016,2020,state,state_po,county_name,fixed_fips,size,POP_ESTIMATE_2020,vote_diff_pct_pop,vote_diff_pct_pop_zscore,pct_change_16_20
27139,27139,28502.0,40040.0,MINNESOTA,MN,SCOTT,27139,s,151347.0,0.07623540605363832,1.677106915737945,0.4048136972844012
27157,27157,3866.0,4696.0,MINNESOTA,MN,WABASHA,27157,xs,21407.0,0.03877236417994114,0.193556878669473,0.21469218830832903
28045,28045,3344.0,4504.0,MISSISSIPPI,MS,HANCOCK,28045,xs,46123.0,0.02515014201157774,-0.3458880567141487,0.34688995215311014
28085,28085,4458.0,5040.0,MISSISSIPPI,MS,LINCOLN,28085,xs,34828.0,0.016710692546227174,-0.6800933145084676,0.13055181695827733
28109,28109,3604.0,4148.0,MISSISSIPPI,MS,PEARL RIVER,28109,xs,56211.0,0.009677821067050934,-0.958597574221429,0.15094339622641506
28127,28127,3874.0,4037.0,MISSISSIPPI,MS,SIMPSON,28127,xs,25901.0,0.006293193312999498,-1.0926300600754788,0.04207537429013941
28137,28137,3926.0,4183.0,MISSISSIPPI,MS,TATE,28137,xs,28121.0,0.009139077557697094,-0.9799320124650424,0.06546102903718798
28159,28159,3850.0,4040.0,MISSISSIPPI,MS,WINSTON,28159,xs,17690.0,0.010740531373657434,-0.9165138608893826,0.049350649350649256
29019,29019,41125.0,50064.0,MISSOURI,MO,BOONE,29019,s,184047.0,0.04856911549767179,0.5815117817862488,0.21736170212765948
29027,29027,4989.0,5870.0,MISSOURI,MO,CALLAWAY,29027,xs,44340.0,0.01986919260261615,-0.5550155674441927,0.17658849468831428
29029,29029,4768.0,5652.0,MISSOURI,MO,CAMDEN,29029,xs,42806.0,0.020651310563939634,-0.5240434126889744,0.1854026845637584
29047,29047,45304.0,59400.0,MISSOURI,MO,CLAY,29047,s,254137.0,0.05546614621247595,0.8546366979931748,0.311142503973159
29077,29077,42728.0,55068.0,MISSOURI,MO,GREENE,29077,s,299328.0,0.04122567885396622,0.29070902899034445,0.28880359483242835
29145,29145,4990.0,5818.0,MISSOURI,MO,NEWTON,29145,xs,58692.0,0.014107544469433653,-0.7831789218876483,0.16593186372745494
29161,29161,4766.0,5637.0,MISSOURI,MO,PHELPS,29161,xs,44559.0,0.019547117305145988,-0.56776986596356,0.18275283256399488
29205,29205,606.0,592.0,MISSOURI,MO,SHELBY,29205,xs,6087.0,-0.0022999835715459176,-1.4329229793900193,-0.02310231023102305
29211,29211,526.0,478.0,MISSOURI,MO,SULLIVAN,29211,xs,5985.0,-0.008020050125313283,-1.6594396882169586,-0.09125475285171103
29213,29213,4373.0,5339.0,MISSOURI,MO,TANEY,29213,xs,56062.0,0.017230922906781777,-0.6594920036675879,0.22090098330665442
29219,29219,3915.0,4769.0,MISSOURI,MO,WARREN,29219,xs,35732.0,0.023900145527818203,-0.39538837054528253,0.2181353767560663
30033,30033,34.0,41.0,MONTANA,MT,GARFIELD,30033,xs,1172.0,0.005972696245733789,-1.1053218601067039,0.2058823529411764
30063,30063,31543.0,43357.0,MONTANA,MT,MISSOULA,30063,s,118347.0,0.09982509062333646,2.6112669750250763,0.3745363472085723
30065,30065,332.0,413.0,MONTANA,MT,MUSSELSHELL,30065,xs,4750.0,0.017052631578947368,-0.6665524048733809,0.24397590361445776
